Module,Event,Time,Day
Animal Life & Food Safety GEP,Practical,15:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,15:00,Monday
Biology of Animal Welfare,Practical,15:00,Monday
Professional & Clinical Skills (3),Tutorial,15:00,Monday
Professional & Clinical Skills 4,Tutorial,15:00,Monday
Scientific Methodology,Lecture,15:00,Monday
The Animal Body (3),Practical,15:00,Monday
Animal Cognition and Consciousness,Lecture,16:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,16:00,Monday
Integrated Clinical Course: Farm Animal,Lecture,16:00,Monday
Professional & Clinical Skills (1),Practical,16:00,Monday
Professional & Clinical Skills 4,Workshop,16:00,Monday
The Animal Body (3),Lecture,16:00,Monday
The Animal Body 2 (GEP),Lecture,16:00,Monday
Animal Cognition and Consciousness,Practical,09:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,09:00,Out of Touch Thursday
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,09:00,Out of Touch Thursday
Professional & Clinical Skills (1),Lecture,09:00,Out of Touch Thursday
Professional & Clinical Skills (3),Lecture,09:00,Out of Touch Thursday
Professional & Clinical Skills GEP,Lecture,09:00,Out of Touch Thursday
The Animal Body (1),Practical,09:00,Out of Touch Thursday
The Animal Body (3),Practical,09:00,Out of Touch Thursday
The Animal Body 2 (GEP),Tutorial,09:00,Out of Touch Thursday
Veterinary Pathology,Practical,09:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,10:00,Out of Touch Thursday
Clinical Foundation Course (Yr 3),Lecture,10:00,Out of Touch Thursday
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,10:00,Out of Touch Thursday
Professional & Clinical Skills (3),Practical,10:00,Out of Touch Thursday
Professional & Clinical Skills 2,Practical,10:00,Out of Touch Thursday
Veterinary Public Health,Lecture,10:00,Out of Touch Thursday
Animal Life & Food Safety 1,Practical,11:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,11:00,Out of Touch Thursday
Integrated Clinical Course: Farm Animal,Practical,11:00,Out of Touch Thursday
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,11:00,Out of Touch Thursday
Professional & Clinical Skills (3),Practical,11:00,Out of Touch Thursday
Professional & Clinical Skills 2,Practical,11:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,12:00,Out of Touch Thursday
Professional & Clinical Skills 2,Tutorial,12:00,Out of Touch Thursday
The Animal Body (1),Lecture,12:00,Out of Touch Thursday
Veterinary Public Health,Practical,12:00,Out of Touch Thursday
Animal Cognition and Consciousness,Lecture,13:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,13:00,Out of Touch Thursday
The Animal Body 2 (GEP),Practical,13:00,Out of Touch Thursday
Veterinary Pathology,Practical,13:00,Out of Touch Thursday
Animal Life & Food Safety 1,Practical,14:00,Out of Touch Thursday
Animal Life & Food Safety 2,Practical,14:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,14:00,Out of Touch Thursday
Applied Animal Behaviour & Welfare Dissertation,Lecture,14:00,Out of Touch Thursday
Integrated Clinical Course: Farm Animal,Lecture,14:00,Out of Touch Thursday
Professional & Clinical Skills 2,Lecture,14:00,Out of Touch Thursday
The Animal Body (1),Tutorial,14:00,Out of Touch Thursday
Animal Cognition and Consciousness,Lecture,15:00,Out of Touch Thursday
Animal Life & Food Safety 1,Practical,15:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,15:00,Out of Touch Thursday
Integrated Clinical Course: Farm Animal,Practical,15:00,Out of Touch Thursday
Veterinary Public Health,Lecture,15:00,Out of Touch Thursday
Animal Cognition and Consciousness,Lecture,16:00,Out of Touch Thursday
Animal Life & Food Safety 1,Practical,16:00,Out of Touch Thursday
Animal models and genomic modification for One Health Models of Disease,Lecture,16:00,Out of Touch Thursday
Integrated Clinical Course: Farm Animal,Practical,16:00,Out of Touch Thursday
Professional & Clinical Skills (1),Lecture,16:00,Out of Touch Thursday
Professional & Clinical Skills (3),Practical,16:00,Out of Touch Thursday
Professional & Clinical Skills 2,Tutorial,16:00,Out of Touch Thursday
Professional & Clinical Skills GEP,Practical,16:00,Out of Touch Thursday
Scientific Methodology,Practical,16:00,Out of Touch Thursday
Student Research Component (Foundation Skills),Practical,16:00,Out of Touch Thursday
The Animal Body 2 (GEP),Lecture,16:00,Out of Touch Thursday
Veterinary Pathology,Lecture,16:00,Out of Touch Thursday
Veterinary Public Health,Lecture,16:00,Out of Touch Thursday
Animal Cognition and Consciousness,Practical,09:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,09:00,Tuesday
Biology of Animal Welfare,Lecture,09:00,Tuesday
Clinical Foundation Course (Yr 3),Practical,09:00,Tuesday
Integrated Clinical Course: Farm Animal,Practical,09:00,Tuesday
Professional & Clinical Skills 4,Lecture,09:00,Tuesday
Student Research Component (Foundation Skills),Practical,09:00,Tuesday
The Animal Body (1),Practical,09:00,Tuesday
The Animal Body 2 (GEP),Lecture,09:00,Tuesday
Animal Life & Food Safety 1,Practical,10:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,10:00,Tuesday
Biology of Animal Welfare,Lecture,10:00,Tuesday
Clinical Foundation Course (Yr 3),Practical,10:00,Tuesday
Scientific Methodology,Practical,10:00,Tuesday
Student Research Component (Foundation Skills),Practical,10:00,Tuesday
Veterinary Public Health,Practical,10:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,11:00,Tuesday
Biology of Animal Welfare,Lecture,11:00,Tuesday
Clinical Foundation Course (Yr 3),Practical,11:00,Tuesday
Integrated Clinical Course: Farm Animal,Lecture,11:00,Tuesday
Professional & Clinical Skills (1),Practical,11:00,Tuesday
The Animal Body 2 (GEP),Practical,11:00,Tuesday
Veterinary Pathology,Lecture,11:00,Tuesday
Professional & Clinical Skills GEP,Practical,12:00,Tuesday
Scientific Methodology,Lecture,12:00,Tuesday
The Animal Body 2 (GEP),Tutorial,12:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,13:00,Tuesday
Clinical Foundation Course (Yr 3),Practical,13:00,Tuesday
Professional & Clinical Skills GEP,Lecture,13:00,Tuesday
Animal Life & Food Safety 1,Practical,14:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,14:00,Tuesday
Applied Animal Behaviour & Welfare Dissertation,Lecture,14:00,Tuesday
Biology of Animal Welfare,Practical,14:00,Tuesday
Integrated Clinical Course: Farm Animal,Tutorial,14:00,Tuesday
Professional & Clinical Skills (1),Tutorial,14:00,Tuesday
Professional & Clinical Skills (3),Practical,14:00,Tuesday
Professional & Clinical Skills GEP,Tutorial,14:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,15:00,Tuesday
Clinical Foundation Course (Yr 3),Practical,15:00,Tuesday
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,15:00,Tuesday
Professional & Clinical Skills 4,Tutorial,15:00,Tuesday
Professional & Clinical Skills GEP,Practical,15:00,Tuesday
The Animal Body (3),Practical,15:00,Tuesday
The Animal Body 2 (GEP),Tutorial,15:00,Tuesday
Animal Cognition and Consciousness,Lecture,16:00,Tuesday
Animal Life & Food Safety 2,Practical,16:00,Tuesday
Animal models and genomic modification for One Health Models of Disease,Lecture,16:00,Tuesday
Integrated Clinical Course: Farm Animal,Practical,16:00,Tuesday
Professional & Clinical Skills (1),Lecture,16:00,Tuesday
Veterinary Pathology,Practical,16:00,Tuesday
Animal Cognition and Consciousness,Practical,09:00,Wednesday My Dudes
Animal Life & Food Safety 1,Practical,09:00,Wednesday My Dudes
Animal Life & Food Safety GEP,Practical,09:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,09:00,Wednesday My Dudes
Biology of Animal Welfare,Lecture,09:00,Wednesday My Dudes
Clinical Foundation Course (Yr 3),Practical,09:00,Wednesday My Dudes
Student Research Component (Foundation Skills),Practical,09:00,Wednesday My Dudes
Animal Cognition and Consciousness,Lecture,10:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,10:00,Wednesday My Dudes
Professional & Clinical Skills 2,Tutorial,10:00,Wednesday My Dudes
Scientific Methodology,Practical,10:00,Wednesday My Dudes
The Animal Body (4),Lecture,10:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,11:00,Wednesday My Dudes
Scientific Methodology,Lecture,11:00,Wednesday My Dudes
The Animal Body 2 (GEP),Practical,11:00,Wednesday My Dudes
Animal Life & Food Safety 1,Practical,12:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,12:00,Wednesday My Dudes
Biology of Animal Welfare,Practical,12:00,Wednesday My Dudes
Applied Animal Behaviour & Welfare Dissertation,Lecture,13:00,Wednesday My Dudes
Professional & Clinical Skills (3),Tutorial,13:00,Wednesday My Dudes
Professional & Clinical Skills 2,Practical,13:00,Wednesday My Dudes
The Animal Body (3),Lecture,13:00,Wednesday My Dudes
Veterinary Pathology,Practical,13:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,14:00,Wednesday My Dudes
Scientific Methodology,Lecture,14:00,Wednesday My Dudes
The Animal Body (3),Practical,14:00,Wednesday My Dudes
Animal Cognition and Consciousness,Practical,15:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,15:00,Wednesday My Dudes
Clinical Foundation Course (Yr 3),Tutorial,15:00,Wednesday My Dudes
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,15:00,Wednesday My Dudes
Professional & Clinical Skills 4,Practical,15:00,Wednesday My Dudes
Professional & Clinical Skills GEP,Tutorial,15:00,Wednesday My Dudes
Animal Cognition and Consciousness,Practical,16:00,Wednesday My Dudes
Animal Life & Food Safety 2,Practical,16:00,Wednesday My Dudes
Animal models and genomic modification for One Health Models of Disease,Lecture,16:00,Wednesday My Dudes
Clinical Foundation Course (Yr 3),Practical,16:00,Wednesday My Dudes
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,16:00,Wednesday My Dudes
Professional & Clinical Skills (1),Practical,16:00,Wednesday My Dudes
Student Research Component (Foundation Skills),Lecture,16:00,Wednesday My Dudes
The Animal Body 2 (GEP),Lecture,16:00,Wednesday My Dudes
